transaction_id,category,subcategory,region,season,unit_cost,unit_price,quantity_sold,inventory_days,revenue,cost,profit,profit_margin_pct
TXN100020,Grocery,Frozen Foods,South,Summer,168.25,183.01,15,7.0,2745.15,2523.75,221.4,8.07
TXN100021,Grocery,Snacks,West,Summer,94.91,99.6,17,7.0,1693.2,1613.47,79.73,4.71
TXN100022,Beauty & Personal Care,Grooming,Central,Summer,131.39,168.35,3,50.0,505.05,394.17,110.88,21.95
TXN100023,Home & Kitchen,Furniture,South,Summer,242.0,283.75,6,66.0,1702.5,1452.0,250.5,14.71
TXN100024,Home & Kitchen,Appliances,South,Winter,297.03,355.89,9,74.0,3203.01,2673.27,529.74,16.54
TXN100025,Electronics,Laptops,North,Monsoon,1186.92,1322.86,6,40.0,7937.16,7121.52,815.64,10.28
TXN100026,Home & Kitchen,Storage,North,Summer,292.2,363.82,8,47.0,2910.56,2337.6,572.96,19.69
TXN100027,Home & Kitchen,Cookware,Central,Festive,200.71,227.94,10,94.0,2279.4,2007.1,272.3,11.95
TXN100028,Electronics,Smartphones,South,Winter,1671.11,1734.05,5,64.0,8670.25,8355.55,314.7,3.63
TXN100029,Electronics,Smartphones,East,Monsoon,289.98,291.98,10,69.0,2919.8,2899.8,20.0,0.68
TXN100030,Home & Kitchen,Storage,South,Summer,37.59,43.81,10,47.0,438.1,375.9,62.2,14.2
TXN100031,Beauty & Personal Care,Grooming,East,Festive,133.97,180.72,9,26.0,1626.48,1205.73,420.75,25.87
TXN100032,Apparel,Women's Wear,West,Monsoon,200.25,244.1,4,53.0,976.4,801.0,175.4,17.96
TXN100033,Home & Kitchen,Storage,Central,Festive,413.04,477.6,5,83.0,2388.0,2065.2,322.8,13.52
TXN100034,Beauty & Personal Care,Skincare,East,Summer,196.64,239.75,6,53.0,1438.5,1179.84,258.66,17.98
TXN100035,Home & Kitchen,Storage,Central,Festive,426.33,503.99,8,67.0,4031.92,3410.64,621.28,15.41
TXN100036,Grocery,Dairy,South,Festive,280.43,282.87,11,17.0,3111.57,3084.73,26.84,0.86
TXN100037,Grocery,Dairy,West,Festive,307.96,327.51,19,12.0,6222.69,5851.24,371.45,5.97
TXN100038,Apparel,Women's Wear,East,Monsoon,400.27,445.5,3,105.0,1336.5,1200.81,135.69,10.15
TXN100039,Home & Kitchen,Decor,East,Summer,235.46,288.68,9,64.0,2598.12,2119.14,478.98,18.44
TXN100040,Apparel,Winter Wear,North,Summer,184.44,245.68,6,41.0,1474.08,1106.64,367.44,24.93
TXN100041,Electronics,Cameras,North,Winter,1811.97,1777.62,6,49.0,10665.72,10871.82,-206.1,-1.93
TXN100042,Grocery,Dairy,West,Winter,229.23,245.72,13,7.0,3194.36,2979.99,214.37,6.71
TXN100043,Electronics,Smartphones,West,Spring,1061.63,1165.58,11,40.0,12821.38,11677.93,1143.45,8.92
TXN100044,Apparel,Men's Wear,North,Winter,120.41,149.56,6,,897.36,722.46,174.9,19.49
TXN100045,Beauty & Personal Care,Haircare,West,Festive,434.1,599.04,9,26.0,5391.36,3906.9,1484.46,27.53
TXN100046,Electronics,Smartphones,,Summer,2799.44,2870.89,6,51.0,17225.34,16796.64,428.7,2.49
TXN100047,Electronics,Laptops,North,Festive,2250.62,2300.72,10,69.0,23007.2,22506.2,501.0,2.18
TXN100048,Beauty & Personal Care,Skincare,Central,Summer,344.66,387.99,8,48.0,3103.92,2757.28,346.64,11.17
TXN100049,Apparel,Kids Wear,East,Spring,78.24,94.65,7,85.0,662.55,547.68,114.87,17.34
TXN100050,Beauty & Personal Care,Skincare,Central,Winter,424.76,527.95,9,35.0,4751.55,3822.84,928.71,19.55
TXN100051,Beauty & Personal Care,Haircare,East,Winter,297.25,388.65,14,44.0,5441.1,4161.5,1279.6,23.52
TXN100052,Grocery,Snacks,,Festive,264.23,284.17,8,9.0,2273.36,2113.84,159.52,7.02
TXN100053,Apparel,Footwear,North,Festive,462.25,540.93,5,112.0,2704.65,2311.25,393.4,14.55
TXN100054,Grocery,Dairy,South,Winter,335.13,344.27,15,19.0,5164.05,5026.95,137.1,2.65
TXN100055,Home & Kitchen,Storage,East,Spring,450.05,529.56,4,51.0,2118.24,1800.2,318.04,15.01
TXN100056,Home & Kitchen,Appliances,North,Summer,284.22,332.59,7,50.0,2328.13,1989.54,338.59,14.54
TXN100057,Home & Kitchen,Cookware,North,Spring,123.23,152.48,5,41.0,762.4,616.15,146.25,19.18
TXN100058,Grocery,Dairy,West,Festive,79.13,84.22,10,8.0,842.2,791.3,50.9,6.04
TXN100059,Electronics,Laptops,West,Monsoon,2126.64,2287.79,6,53.0,13726.74,12759.84,966.9,7.04
TXN100060,Electronics,Smartphones,West,Winter,2611.98,2526.15,4,65.0,10104.6,10447.92,-343.32,-3.4
TXN100061,Electronics,Laptops,West,Winter,2706.69,2646.29,7,55.0,18524.03,18946.83,-422.8,-2.28
TXN100062,Apparel,Kids Wear,South,Monsoon,335.87,380.82,4,112.0,1523.28,1343.48,179.8,11.8
TXN100063,Home & Kitchen,Furniture,Central,Spring,151.46,173.11,7,83.0,1211.77,1060.22,151.55,12.51
TXN100064,Electronics,Laptops,,Winter,1888.83,2073.82,6,40.0,12442.92,11332.98,1109.94,8.92
TXN100065,Beauty & Personal Care,Haircare,West,Spring,54.88,76.02,11,25.0,836.22,603.68,232.54,27.81
TXN100066,Beauty & Personal Care,Grooming,South,Winter,355.73,493.24,9,27.0,4439.16,3201.57,1237.59,27.88
TXN100067,Apparel,Women's Wear,North,Monsoon,188.7,240.65,11,73.0,2647.15,2075.7,571.45,21.59
TXN100068,Home & Kitchen,Furniture,East,Festive,269.18,291.16,12,87.0,3493.92,3230.16,263.76,7.55
TXN100069,Apparel,Footwear,South,Spring,30.63,33.91,7,118.0,237.37,214.41,22.96,9.67
TXN100070,Home & Kitchen,Storage,South,Winter,495.67,527.95,6,96.0,3167.7,2974.02,193.68,6.11
TXN100071,Electronics,Headphones,North,Festive,2984.98,2812.42,6,59.0,16874.52,17909.88,-1035.36,-6.14
TXN100072,Beauty & Personal Care,Makeup,East,Winter,445.49,544.83,6,54.0,3268.98,2672.94,596.04,18.23
TXN100073,Electronics,Cameras,Central,Festive,2974.85,2643.43,9,48.0,23790.87,26773.65,-2982.78,-12.54
TXN100074,Apparel,Winter Wear,South,Winter,352.51,365.68,3,109.0,1097.04,1057.53,39.51,3.6
TXN100075,Beauty & Personal Care,Haircare,,Summer,380.75,482.24,4,27.0,1928.96,1523.0,405.96,21.05
TXN100076,Grocery,Dairy,South,Summer,421.66,448.45,12,6.0,5381.4,5059.92,321.48,5.97
TXN100077,Grocery,Snacks,South,Summer,38.38,34.14,18,17.0,614.52,690.84,-76.32,-12.42
TXN100078,Apparel,Winter Wear,East,Festive,192.2,255.98,8,30.0,2047.84,1537.6,510.24,24.92
TXN100079,Apparel,Kids Wear,East,Festive,481.99,513.2,10,111.0,5132.0,4819.9,312.1,6.08
TXN100080,Home & Kitchen,Appliances,North,Festive,390.53,432.51,4,90.0,1730.04,1562.12,167.92,9.71
TXN100081,Home & Kitchen,Cookware,West,Spring,283.62,334.48,9,49.0,3010.32,2552.58,457.74,15.21
TXN100082,Home & Kitchen,Cookware,North,Festive,454.83,553.49,3,84.0,1660.47,1364.49,295.98,17.83
TXN100083,Apparel,Women's Wear,West,Winter,271.78,361.48,8,37.0,2891.84,2174.24,717.6,24.81
TXN100084,Electronics,Laptops,North,Festive,203.32,194.62,9,64.0,1751.58,1829.88,-78.3,-4.47
TXN100085,Electronics,Cameras,West,Winter,2621.76,2682.28,11,68.0,29505.08,28839.36,665.72,2.26
TXN100086,Electronics,Headphones,West,Winter,2884.3,2855.92,7,63.0,19991.44,20190.1,-198.66,-0.99
TXN100087,Home & Kitchen,Appliances,South,Festive,149.09,178.41,9,63.0,1605.69,1341.81,263.88,16.43
TXN100088,Apparel,Footwear,Central,Summer,262.26,317.5,7,83.0,2222.5,1835.82,386.68,17.4
TXN100089,Apparel,Kids Wear,South,Summer,338.0,407.22,8,70.0,3257.76,2704.0,553.76,17.0
TXN100090,Apparel,Footwear,East,Winter,142.18,145.39,3,77.0,436.17,426.54,9.63,2.21
TXN100091,Home & Kitchen,Appliances,South,Spring,245.15,303.78,8,41.0,2430.24,1961.2,469.04,19.3
TXN100092,Beauty & Personal Care,Fragrances,South,Winter,368.11,459.44,6,29.0,2756.64,2208.66,547.98,19.88
TXN100093,Beauty & Personal Care,Skincare,West,Winter,399.8,475.7,10,44.0,4757.0,3998.0,759.0,15.96
TXN100094,Electronics,Smartphones,Central,Monsoon,2780.74,2644.08,9,65.0,23796.72,25026.66,-1229.94,-5.17
TXN100095,Home & Kitchen,Cookware,East,Spring,45.87,51.11,6,80.0,306.66,275.22,31.44,10.25
TXN100096,Apparel,Winter Wear,West,Summer,203.24,231.03,9,97.0,2079.27,1829.16,250.11,12.03
TXN100097,Electronics,Cameras,Central,Spring,956.51,1025.14,6,49.0,6150.84,5739.06,411.78,6.69
TXN100098,Home & Kitchen,Cookware,South,Winter,459.7,554.03,5,45.0,2770.15,2298.5,471.65,17.03
TXN100099,Home & Kitchen,Furniture,North,Monsoon,95.64,101.25,9,94.0,911.25,860.76,50.49,5.54
TXN100100,Apparel,Footwear,South,Summer,272.33,329.61,6,58.0,1977.66,1633.98,343.68,17.38
TXN100101,Home & Kitchen,Furniture,East,Summer,228.44,284.22,10,40.0,2842.2,2284.4,557.8,19.63
TXN100102,Home & Kitchen,Storage,North,Festive,338.11,375.96,6,78.0,2255.76,2028.66,227.1,10.07
TXN100103,Beauty & Personal Care,Fragrances,West,Winter,481.22,625.67,4,50.0,2502.68,1924.88,577.8,23.09
TXN100104,Home & Kitchen,Storage,West,Festive,19.81,23.78,8,86.0,190.24,158.48,31.76,16.69
TXN100105,Apparel,Winter Wear,South,Spring,179.7,219.35,10,75.0,2193.5,1797.0,396.5,18.08
TXN100106,Home & Kitchen,Furniture,East,Monsoon,159.29,184.86,8,64.0,1478.88,1274.32,204.56,13.83
TXN100107,Home & Kitchen,Storage,West,Summer,205.34,240.05,2,62.0,480.1,410.68,69.42,14.46
TXN100108,Home & Kitchen,Appliances,Central,Festive,439.29,521.02,4,91.0,2084.08,1757.16,326.92,15.69
TXN100109,Electronics,Laptops,South,Winter,2100.35,2391.66,4,35.0,9566.64,8401.4,1165.24,12.18
TXN100110,Home & Kitchen,Cookware,Central,Monsoon,160.06,184.46,6,71.0,1106.76,960.36,146.4,13.23
TXN100111,Grocery,Beverages,East,Summer,397.27,414.89,17,14.0,7053.13,6753.59,299.54,4.25
TXN100112,Electronics,Accessories,Central,Winter,1145.66,1145.99,5,54.0,5729.95,5728.3,1.65,0.03
TXN100113,Home & Kitchen,Storage,South,Monsoon,447.12,542.77,5,87.0,2713.85,2235.6,478.25,17.62
TXN100114,Home & Kitchen,Furniture,East,Summer,121.21,153.41,5,67.0,767.05,606.05,161.0,20.99
TXN100115,Home & Kitchen,Decor,East,Winter,478.69,596.39,6,61.0,3578.34,2872.14,706.2,19.74
TXN100116,Grocery,Beverages,West,Festive,393.42,373.04,13,19.0,4849.52,5114.46,-264.94,-5.46
TXN100117,Beauty & Personal Care,Haircare,Central,Winter,242.42,300.72,5,39.0,1503.6,1212.1,291.5,19.39
TXN100118,Electronics,Laptops,West,Spring,532.87,518.05,5,66.0,2590.25,2664.35,-74.1,-2.86
TXN100119,Home & Kitchen,Storage,Central,Spring,489.41,593.88,5,73.0,2969.4,2447.05,522.35,17.59
TXN100120,Grocery,Staples,East,Festive,249.31,261.54,15,8.0,3923.1,3739.65,183.45,4.68
TXN100121,Electronics,Accessories,West,Monsoon,2295.31,2462.42,2,45.0,4924.84,4590.62,334.22,6.79
TXN100122,Electronics,Smartphones,South,Spring,1687.5,1834.47,4,52.0,7337.88,6750.0,587.88,8.01
TXN100123,Grocery,Snacks,South,Monsoon,342.41,345.42,16,17.0,5526.72,5478.56,48.16,0.87
TXN100124,Grocery,Dairy,South,Spring,212.18,229.52,17,3.0,3901.84,3607.06,294.78,7.55
TXN100125,Home & Kitchen,Appliances,Central,Monsoon,41.78,46.89,8,73.0,375.12,334.24,40.88,10.9
TXN100126,Grocery,Staples,East,Summer,82.25,87.16,10,10.0,871.6,822.5,49.1,5.63
TXN100127,Beauty & Personal Care,Fragrances,Central,Winter,322.4,422.12,12,27.0,5065.44,3868.8,1196.64,23.62
TXN100128,Grocery,Dairy,South,Festive,120.52,128.07,16,10.0,2049.12,1928.32,120.8,5.9
TXN100129,Home & Kitchen,Furniture,East,Summer,367.46,459.15,7,49.0,3214.05,2572.22,641.83,19.97
TXN100130,Apparel,Footwear,South,Spring,382.11,475.39,3,99.0,1426.17,1146.33,279.84,19.62
TXN100131,Home & Kitchen,Cookware,East,Spring,450.92,444.72,6,79.0,2668.32,2705.52,-37.2,-1.39
TXN100132,Home & Kitchen,Furniture,Central,Summer,237.33,287.04,4,76.0,1148.16,949.32,198.84,17.32
TXN100133,Home & Kitchen,Storage,Central,Festive,364.18,387.6,6,82.0,2325.6,2185.08,140.52,6.04
TXN100134,Apparel,Winter Wear,West,Winter,261.13,343.93,4,71.0,1375.72,1044.52,331.2,24.07
TXN100135,Grocery,Frozen Foods,West,Festive,127.01,119.84,16,19.0,1917.44,2032.16,-114.72,-5.98
TXN100136,Electronics,Cameras,North,Spring,325.55,356.57,5,33.0,1782.85,1627.75,155.1,8.7
TXN100137,Electronics,Smartphones,South,Summer,1695.57,1720.71,5,52.0,8603.55,8477.85,125.7,1.46
TXN100138,Grocery,Frozen Foods,West,Monsoon,484.2,528.46,19,4.0,10040.74,9199.8,840.94,8.38
TXN100139,Electronics,Accessories,South,Winter,2651.69,2901.48,5,32.0,14507.4,13258.45,1248.95,8.61
TXN100140,Electronics,Accessories,North,Festive,1645.34,1805.58,8,46.0,14444.64,13162.72,1281.92,8.87
TXN100141,Apparel,Footwear,South,Spring,230.67,273.47,8,88.0,2187.76,1845.36,342.4,15.65
TXN100142,Electronics,Headphones,West,Spring,2519.27,2442.8,4,53.0,9771.2,10077.08,-305.88,-3.13
TXN100143,Beauty & Personal Care,Fragrances,North,Monsoon,396.34,530.98,9,30.0,4778.82,3567.06,1211.76,25.36
TXN100144,Apparel,Men's Wear,South,Festive,72.45,87.48,10,104.0,874.8,724.5,150.3,17.18
TXN100145,Electronics,Headphones,West,Spring,1815.15,1967.22,8,38.0,15737.76,14521.2,1216.56,7.73
TXN100146,Grocery,Staples,East,Spring,396.69,410.07,12,14.0,4920.84,4760.28,160.56,3.26
TXN100147,Electronics,Laptops,North,Winter,2869.68,3010.05,6,56.0,18060.3,17218.08,842.22,4.66
TXN100148,Grocery,Dairy,West,Monsoon,74.53,67.12,13,16.0,872.56,968.89,-96.33,-11.04
TXN100149,Apparel,Men's Wear,South,Spring,241.52,286.87,7,42.0,2008.09,1690.64,317.45,15.81
TXN100150,Electronics,Headphones,East,Festive,890.48,956.26,5,34.0,4781.3,4452.4,328.9,6.88
TXN100151,Beauty & Personal Care,Skincare,Central,Monsoon,31.98,40.58,12,57.0,486.96,383.76,103.2,21.19
TXN100152,Electronics,Cameras,South,Spring,2012.61,2230.91,12,54.0,26770.92,24151.32,2619.6,9.79
TXN100153,Electronics,Laptops,West,Monsoon,2235.89,2098.34,9,62.0,18885.06,20123.01,-1237.95,-6.56
TXN100154,Electronics,Accessories,East,Summer,2035.25,2202.2,12,38.0,26426.4,24423.0,2003.4,7.58
TXN100155,Electronics,Accessories,West,Winter,2297.63,2609.49,3,40.0,7828.47,6892.89,935.58,11.95
TXN100156,Home & Kitchen,Cookware,Central,Summer,422.44,509.5,7,73.0,3566.5,2957.08,609.42,17.09
TXN100157,Apparel,Kids Wear,South,Spring,82.06,103.64,8,41.0,829.12,656.48,172.64,20.82
TXN100158,Electronics,Cameras,Central,Winter,1683.45,1625.15,5,59.0,8125.75,8417.25,-291.5,-3.59
TXN100159,Beauty & Personal Care,Fragrances,East,Winter,295.66,413.91,10,26.0,4139.1,2956.6,1182.5,28.57
TXN100160,Beauty & Personal Care,Makeup,Central,Summer,183.2,238.62,6,21.0,1431.72,1099.2,332.52,23.23
TXN100161,Home & Kitchen,Appliances,West,Monsoon,251.05,298.58,11,69.0,3284.38,2761.55,522.83,15.92
TXN100162,Home & Kitchen,Cookware,West,Winter,323.7,384.81,3,54.0,1154.43,971.1,183.33,15.88
TXN100163,Grocery,Beverages,Central,Winter,437.3,423.33,20,13.0,8466.6,8746.0,-279.4,-3.3
TXN100164,Grocery,Dairy,East,Spring,497.38,519.96,7,3.0,3639.72,3481.66,158.06,4.34
TXN100165,Electronics,Accessories,West,Monsoon,2310.04,2570.35,5,52.0,12851.75,11550.2,1301.55,10.13
TXN100166,Grocery,Frozen Foods,South,Winter,59.46,63.84,20,14.0,1276.8,1189.2,87.6,6.86
TXN100167,Grocery,Staples,South,Spring,403.71,442.37,22,9.0,9732.14,8881.62,850.52,8.74
TXN100168,Home & Kitchen,Storage,Central,Monsoon,185.33,228.74,8,47.0,1829.92,1482.64,347.28,18.98
TXN100169,Grocery,Staples,Central,Festive,363.12,386.39,21,5.0,8114.19,7625.52,488.67,6.02
TXN100170,Apparel,Men's Wear,North,Summer,32.96,40.06,3,93.0,120.18,98.88,21.3,17.72
TXN100171,Electronics,Headphones,East,Spring,2536.0,2383.6,8,60.0,19068.8,20288.0,-1219.2,-6.39
TXN100172,Electronics,Accessories,Central,Festive,589.28,540.43,7,55.0,3783.01,4124.96,-341.95,-9.04
TXN100173,Electronics,Laptops,West,Winter,2583.92,2604.18,8,49.0,20833.44,20671.36,162.08,0.78
TXN100174,Electronics,Laptops,West,Festive,203.99,219.61,6,51.0,1317.66,1223.94,93.72,7.11
TXN100175,Beauty & Personal Care,Haircare,North,Winter,212.68,278.34,4,36.0,1113.36,850.72,262.64,23.59
TXN100176,Grocery,Staples,West,Spring,117.7,112.7,9,17.0,1014.3,1059.3,-45.0,-4.44
TXN100177,Apparel,Winter Wear,North,Monsoon,263.8,326.89,1,63.0,326.89,263.8,63.09,19.3
TXN100178,Beauty & Personal Care,Makeup,North,Summer,416.58,553.68,8,31.0,4429.44,3332.64,1096.8,24.76
TXN100179,Beauty & Personal Care,Grooming,West,Summer,481.76,594.3,6,34.0,3565.8,2890.56,675.24,18.94
TXN100180,Home & Kitchen,Appliances,East,Spring,179.14,227.38,6,57.0,1364.28,1074.84,289.44,21.22
TXN100181,Electronics,Smartphones,East,Monsoon,1095.09,1128.08,11,68.0,12408.88,12045.99,362.89,2.92
TXN100182,Apparel,Footwear,North,Winter,476.2,547.9,6,94.0,3287.4,2857.2,430.2,13.09
TXN100183,Grocery,Dairy,Central,Festive,480.47,456.25,11,19.0,5018.75,5285.17,-266.42,-5.31
TXN100184,Home & Kitchen,Cookware,East,Festive,384.15,423.77,7,76.0,2966.39,2689.05,277.34,9.35
TXN100185,Apparel,Kids Wear,North,Summer,448.37,516.9,8,111.0,4135.2,3586.96,548.24,13.26
TXN100186,Apparel,Men's Wear,South,Festive,199.3,223.74,8,106.0,1789.92,1594.4,195.52,10.92
TXN100187,Apparel,Kids Wear,East,Summer,169.91,224.75,10,42.0,2247.5,1699.1,548.4,24.4
TXN100188,Electronics,Headphones,East,Winter,2825.31,3109.41,10,43.0,31094.1,28253.1,2841.0,9.14
TXN100189,Electronics,Headphones,North,Summer,230.93,243.91,2,57.0,487.82,461.86,25.96,5.32
TXN100190,Electronics,Cameras,West,Spring,2208.59,2454.3,8,43.0,19634.4,17668.72,1965.68,10.01
TXN100191,Apparel,Winter Wear,Central,Winter,196.54,245.01,8,97.0,1960.08,1572.32,387.76,19.78
TXN100192,Grocery,Snacks,East,Spring,467.13,454.47,15,14.0,6817.05,7006.95,-189.9,-2.79
TXN100193,Beauty & Personal Care,Skincare,South,Festive,105.67,119.62,10,59.0,1196.2,1056.7,139.5,11.66
TXN100194,Electronics,Smartphones,North,Festive,1341.1,1289.85,7,61.0,9028.95,9387.7,-358.75,-3.97
TXN100195,Electronics,Smartphones,North,Winter,963.87,938.72,7,64.0,6571.04,6747.09,-176.05,-2.68
TXN100196,Home & Kitchen,Storage,East,Winter,211.71,269.2,6,65.0,1615.2,1270.26,344.94,21.36
TXN100197,Electronics,Cameras,North,Monsoon,2030.86,2255.44,5,33.0,11277.2,10154.3,1122.9,9.96
TXN100198,Electronics,Accessories,South,Winter,2913.5,3114.72,7,43.0,21803.04,20394.5,1408.54,6.46
TXN100199,Apparel,Women's Wear,South,Monsoon,47.72,54.38,6,115.0,326.28,286.32,39.96,12.25
TXN100200,Grocery,Snacks,North,Summer,132.27,137.58,10,5.0,1375.8,1322.7,53.1,3.86
TXN100201,Beauty & Personal Care,Grooming,East,Monsoon,316.35,407.22,10,22.0,4072.2,3163.5,908.7,22.31
TXN100202,Grocery,Beverages,East,Festive,51.31,49.0,16,17.0,784.0,820.96,-36.96,-4.71
TXN100203,Home & Kitchen,Cookware,South,Monsoon,109.97,134.8,4,89.0,539.2,439.88,99.32,18.42
TXN100204,Apparel,Women's Wear,East,Spring,302.58,387.64,9,63.0,3488.76,2723.22,765.54,21.94
TXN100205,Grocery,Snacks,North,Spring,401.86,367.5,21,17.0,7717.5,8439.06,-721.56,-9.35
TXN100206,Beauty & Personal Care,Makeup,West,Festive,254.72,315.92,8,51.0,2527.36,2037.76,489.6,19.37
TXN100207,Grocery,Beverages,North,Spring,88.15,92.52,12,4.0,1110.24,1057.8,52.44,4.72
TXN100208,Grocery,Dairy,West,Spring,161.81,170.71,16,11.0,2731.36,2588.96,142.4,5.21
TXN100209,Grocery,Frozen Foods,West,Monsoon,193.02,203.89,14,6.0,2854.46,2702.28,152.18,5.33
TXN100210,Apparel,Men's Wear,Central,Monsoon,420.58,520.94,6,97.0,3125.64,2523.48,602.16,19.27
TXN100211,Electronics,Smartphones,Central,Monsoon,1569.05,1683.45,4,28.0,6733.8,6276.2,457.6,6.8
TXN100212,Apparel,Men's Wear,South,Monsoon,130.22,154.94,8,65.0,1239.52,1041.76,197.76,15.95
TXN100213,Electronics,Smartphones,South,Summer,2618.05,2857.06,5,48.0,14285.3,13090.25,1195.05,8.37
TXN100214,Beauty & Personal Care,Haircare,North,Festive,390.48,503.27,11,46.0,5535.97,4295.28,1240.69,22.41
TXN100215,Home & Kitchen,Decor,South,Summer,247.33,284.86,4,64.0,1139.44,989.32,150.12,13.17
TXN100216,Electronics,Cameras,West,Summer,2946.04,2749.85,5,48.0,13749.25,14730.2,-980.95,-7.13
TXN100217,Grocery,Staples,East,Spring,32.21,32.23,14,18.0,451.22,450.94,0.28,0.06
TXN100218,Electronics,Cameras,North,Summer,2356.78,2434.8,6,61.0,14608.8,14140.68,468.12,3.2
TXN100219,Beauty & Personal Care,Makeup,Central,Monsoon,445.67,576.3,6,45.0,3457.8,2674.02,783.78,22.67
TXN100220,Beauty & Personal Care,Fragrances,East,Winter,47.72,64.2,10,35.0,642.0,477.2,164.8,25.67
TXN100221,Electronics,Cameras,South,Monsoon,2454.07,2676.51,5,59.0,13382.55,12270.35,1112.2,8.31
TXN100222,Beauty & Personal Care,Makeup,Central,Monsoon,430.48,585.92,6,37.0,3515.52,2582.88,932.64,26.53
TXN100223,Grocery,Dairy,West,Festive,467.45,508.18,16,14.0,8130.88,7479.2,651.68,8.01
TXN100224,Beauty & Personal Care,Makeup,East,Festive,208.95,256.27,2,32.0,512.54,417.9,94.64,18.46
TXN100225,Apparel,Kids Wear,South,Summer,316.06,382.85,11,82.0,4211.35,3476.66,734.69,17.45
TXN100226,Beauty & Personal Care,Fragrances,North,Summer,470.57,539.74,6,57.0,3238.44,2823.42,415.02,12.82
TXN100227,Electronics,Laptops,North,Monsoon,1817.94,1819.75,4,56.0,7279.0,7271.76,7.24,0.1
TXN100228,Grocery,Staples,West,Festive,272.61,291.5,11,9.0,3206.5,2998.71,207.79,6.48
TXN100229,Home & Kitchen,Appliances,East,Winter,25.55,30.79,10,45.0,307.9,255.5,52.4,17.02
TXN100230,Electronics,Smartphones,North,Monsoon,2921.48,3175.45,7,63.0,22228.15,20450.36,1777.79,8.0
TXN100231,Electronics,Smartphones,East,Summer,842.26,899.6,9,32.0,8096.4,7580.34,516.06,6.37
TXN100232,Apparel,Men's Wear,West,Monsoon,40.66,48.34,5,102.0,241.7,203.3,38.4,15.89
TXN100233,Grocery,Frozen Foods,South,Summer,80.6,86.84,16,7.0,1389.44,1289.6,99.84,7.19
TXN100234,Grocery,Beverages,Central,Summer,234.63,228.78,14,12.0,3202.92,3284.82,-81.9,-2.56
TXN100235,Beauty & Personal Care,Fragrances,South,Winter,249.8,338.1,9,39.0,3042.9,2248.2,794.7,26.12
TXN100236,Electronics,Laptops,Central,Summer,1494.39,1661.13,6,35.0,9966.78,8966.34,1000.44,10.04
TXN100237,Electronics,Smartphones,Central,Summer,1698.36,1780.51,8,60.0,14244.08,13586.88,657.2,4.61
TXN100238,Home & Kitchen,Appliances,Central,Monsoon,304.14,351.88,5,62.0,1759.4,1520.7,238.7,13.57
TXN100239,Beauty & Personal Care,Makeup,South,Monsoon,299.07,326.73,11,50.0,3594.03,3289.77,304.26,8.47
TXN100240,Grocery,Staples,South,Monsoon,70.47,75.94,19,7.0,1442.86,1338.93,103.93,7.2
TXN100241,Grocery,Snacks,North,Winter,461.96,484.74,8,13.0,3877.92,3695.68,182.24,4.7
